Phishing URL,Phishing Sent,Reported Date,Type,Theme,Sender,Config/Key,Source,Analysis Link
hxxps://post6my[.]lol/my,240119 18:56,240125 14:41,iMessage,Parcel,t6hmf4hfhgp43@icloud[.]com,n/a,https://x.com/uhohkimi/status/1750408526793736443,n/a
hxxps://tinyurl[.]com/glkg9kg2?goy=ieCxqm2AvL,240124 14:50,240124 19:24,RCS,Pos Malaysia,n/a,hxxps://postrdiers[.]info/029mBg?goy=ieCxqm2AvL,https://x.com/ardifd/status/1750117337939001384,https://www.virustotal.com/gui/url/a95125e6874c4c454aa326d017daa820993b2e8487ea16cdd04b8fa84513ad0c/details
hxxp://tinyurl[.]com/3zuwetru?Euk=o3mq5NCnLn,240124 13:31,240124 14:43,RCS,Pos Malaysia,n/a,hxxp://myposy[.]club/k?Euk=o3mq5NCnLn,https://x.com/SSRzain/status/1750046539601555880,n/a
hxxps://lihi[.]cc/Ezc3m,240124 13:36,240124 14:40,Fake BTS,Parcel,61750,hxxps://post-aa[.]info/my,https://x.com/hynjinlixx/status/1750045788183613575,https://www.virustotal.com/gui/url/774446cc6d046d4af92ffed78878fb301f277d518963e518d7ff7a6cb382cb3b/details
hxxps://lihi[.]cc/jBoeW,240124 10:09,240124 13:32,n/a,Pos Malaysia,n/a,hxxps://posmy[.]top/my,https://x.com/_annatasha_/status/1750028804440133868,n/a
rb[.]gy/4u5urn,240124 13:53,240124 13:05,n/a,Pos Malaysia,n/a,n/a,https://x.com/skybbluu/status/1749840814736592934,n/a
hxxps://lihi[.]cc/Frqzz,240123 23:06,240124 12:25,Fake BTS,Parcel,61750,hxxps://pos[.]mazonvmxz[.]icu/my,https://x.com/muizloda/status/1749830603619598724,https://www.virustotal.com/gui/url/f691eead989cfbafb38c3035247a0d353d722bc020fe87e8274f16f210213427/details
hxxps://lihi[.]cc/Frqzz,240123 21:47,240123 22:00,n/a,Parcel,n/a,hxxps://pos[.]mazonvmxz[.]icu/my,https://x.com/HFrhvn/status/1749794220658045221,https://www.virustotal.com/gui/url/f691eead989cfbafb38c3035247a0d353d722bc020fe87e8274f16f210213427/details
hxxps://linkr[.]it/3ONCJI,240123 14:50,240123 21:04,Fake BTS,Pos Malaysia,68886,hxxps://posmy[.]xyz/POSmy,https://x.com/nshahirahsheng/status/1749780113116590144,n/a
hxxps://rb[.]gy/i34e44,240122 11:04,240123 21:04,Fake BTS,Pos Malaysia,68886,hxxps://posapp[.]xyz/POSMY,https://x.com/nshahirahsheng/status/1749780113116590144,https://www.virustotal.com/gui/url/62fce66530044ed12ff57db8ac0402a577b98872c0a754d1c83b7eda568668b3/details
hxxps://pos-my[.]xyz/[.]com,240123 15:34,240123 17:32,iMessage,Pos Malaysia,jiangba11968@icloud[.]com,n/a,https://x.com/nidzafaiq_/status/1749726819849543867,n/a
hxxps://shorturl[.]at/aDJKT?Saw=pYeoNrGEj8,n/a,240123 16:03,RCS,Pos Malaysia,n/a,n/a,https://x.com/ruffleseed/status/1749704360349888893,n/a
hxxps://shorturl[.]at/aDJKT?NzN=6MbbHVeHbs,n/a,240123 15:33,n/a,Pos Malaysia,n/a,n/a,https://x.com/Caxidroidnigon/status/1749696796530741431,n/a
hxxps://rb[.]gy/fn8bie,n/a,240118 18:57,Fake BTS,Pos Malaysia,68886,hxxp://wwwposnow[.]top/POSMY,https://x.com/rsncdoie/status/1747936178219971004,https://www.virustotal.com/gui/url/0ad1c055cebb2288d2ced78aab6afab0c2061553cb9df58be3ba55280fe51c6f/details
hxxp://poscobmy[.]xyz/My,240115 16:36,240115 17:02,iMessage,Pos Malaysia,davide9wgkelly@outlook[.]com,n/a,https://x.com/cookiessaaji/status/1746820194394427815,n/a
hxxps://rb[.]gy/rzid1b,240114 18:29,240114 18:35,Fake BTS,Pos Malaysia,68886,hxxps://topposapp[.]xyz/POSMY,https://x.com/NRLsyud/status/1746481122589233411,https://www.virustotal.com/gui/url/8fe791bfaf9335ed62f0d18d3e8ee3084800c4ba5ea8d0706dc1949d08b30349/details
hxxps://rb[.]gy/dggxp1,240113 12:53,240113 13:13,Fake BTS,Pos Malaysia,68886,hxxps://poscom[.]life/gTTC5V,https://x.com/Lolzilla45/status/1746037758764990652,https://www.virustotal.com/gui/url/bb0184ff9e562cf97827783d018f4cebda0eea867a26025dfd563bdc3f2ce7ff/details
hxxps://rb[.]gy/dggxp1,240113 12:15,240113 12:18,Fake BTS,Pos Malaysia,68886,hxxps://poscom[.]life/gTTC5V,https://x.com/tehaarahman/status/1746023880203145498,https://www.virustotal.com/gui/url/bb0184ff9e562cf97827783d018f4cebda0eea867a26025dfd563bdc3f2ce7ff/details
hxxps://tt[.]vg/meHub,240102 15:03,240102 15:27,Fake BTS,J&T Express,n/a,hxxps://jt-expresss[.]xyz/,https://x.com/boysyamroslan/status/1742085278494519313,https://www.virustotal.com/gui/url/9e39163fa59639b57f47eb1cc7926ae60a660c15f57cbaea33d1839bba75faa4/details
hxxps://taglinemy[.]online/semakmykad3,n/a,231116 11:40,Telegram Phishing,SARA,n/a,n/a,https://x.com/nkmnrdn/status/1724995943567954115,n/a
hxxps://t[.]ly/in[.]pos[.]com[.]my,231103 11:33,231103 12:59,iMessage,Pos Malaysia,hou58877@163[.]com,n/a,https://x.com/re1gny/status/1720304679429808320,n/a
hxxps://t[.]ly/Log-pos[.]com[.]my/home,231102 16:06,231102 16:09,iMessage,Pos Malaysia,lg372556747@163[.]com,n/a,https://x.com/Ruzofficial/status/1719989985540186229,n/a
hxxps://t[.]ly/pos[.]com-my/home,231102 15:15,231102 16:09,iMessage,Pos Malaysia,jiandie1972@163[.]com,n/a,https://x.com/Ruzofficial/status/1719989985540186229,n/a
hxxps://t[.]ly/Log-pos[.]com[.]my/home,231102 15:24,231102 15:26,iMessage,Pos Malaysia,lansetainkong@163[.]com,n/a,https://x.com/1181269114_230/status/1719979304254308534,n/a
hxxps://appsmykasih[.]com/sumbangan_asas_rahmah/ags,231024 19:34,231024 19:38,Telegram Phishing,SARA,n/a,n/a,https://x.com/A_Hxrrxz/status/1716781137853583721,n/a
hxxps://my[.]support-links[.]com/sxeCn,231009 15:59,231009 17:04,iMessage,Pos Malaysia,masellmedejcrcympu@gmail[.]com,n/a,https://x.com/HazyHazeeee/status/1711306639662579959,n/a
hxxps://kfc-appmy[.]site,n/a,230515 00:00,Phishing,KFC Promo,n/a,n/a,https://kfc.com.my/scam-alert,n/a
